task_id,family,mean_entropy_top20_nl,mean_entropy_top20_python,mean_entropy_full_nl,mean_entropy_full_python,mean_p1_nl,mean_p1_python,mean_top20_mass_nl,mean_top20_mass_python,delta_mean_entropy_top20,delta_mean_entropy_full
merge_sorted_ascending,merge_sorted,0.6567804627648676,0.12958902320518975,0.6955749099735705,0.1337386682014435,0.7771340436129659,0.9586558656369984,0.9953148878282971,0.9995635283630554,0.5271914395596778,0.561836241772127
merge_sorted_descending,merge_sorted,0.6958527671845837,0.11687736073823209,0.7514391400375947,0.12095616303381594,0.7686163629922603,0.9592853043924526,0.9929643543782057,0.9995638563990181,0.5789754064463516,0.6304829770037788
minmax_normalize,bounded_numeric_transform,0.47873550651211033,0.3157664409525898,0.49496827087275225,0.3370478851727856,0.8247327336616683,0.9000694003294815,0.9979716251816666,0.9971172412989114,0.1629690655595205,0.15792038569996664
most_frequent,mode_selection,0.879264455820833,0.2426856812763775,0.9720732866830769,0.2512898700191568,0.7044522142126447,0.9103643350551395,0.9862151185671489,0.9990229368546054,0.6365787745444556,0.7207834166639201
moving_average_three,sliding_window,0.6676320837377899,0.19417474693749348,0.7180226073421613,0.19808115765802303,0.7811015448485962,0.9307259129977239,0.9936456987352082,0.9996245043967407,0.47345733680029645,0.5199414496841382
numeric_palindrome,numeric_reverse,0.46169033571133816,0.09535071658757836,0.46616902543159605,0.09792490231059882,0.8382638297746591,0.9688401756650311,0.999519779809392,0.9996797629546433,0.3663396191237598,0.36824412312099725
ordered_intersection,ordered_intersection,0.374726057778878,0.2423832406053811,0.3957060320528633,0.2538922052474744,0.8763321537814873,0.9228388104173871,0.9973837167264955,0.9988117337226868,0.1323428171734969,0.1418138268053889
ordered_unique_intersection,ordered_intersection,0.46634605569661924,0.2647601024253487,0.4939036007386865,0.2725563192884566,0.8436449691778471,0.908731221600815,0.9960946081900128,0.9991892681077674,0.20158595327127055,0.22134728145022992
partition_by_sign,partition,0.3836099417213658,0.25342725283299194,0.40257524054266525,0.27185559824861755,0.8749293927437088,0.9101425199346109,0.9980100122190292,0.9978293402878259,0.13018268888837387,0.1307196422940477
partition_by_threshold,partition,0.5408355954661256,0.22155601499875258,0.5619510725588917,0.24298363395193942,0.8140812086802658,0.9252381265997135,0.9978709076895083,0.9970703430602971,0.31927958046737304,0.3189674386069522
product_one_to_n,factorial_product,0.5683272988830382,0.11676552515582624,0.6194436859018687,0.11874030423033129,0.8091191464331415,0.9621718977436875,0.9942092360721695,0.9998098160281326,0.451561773727212,0.5007033816715374
remove_digits,string_filter,0.33521653752385855,0.2005479762220992,0.3403196339181503,0.20405459059551978,0.8805641230006133,0.9260755390638398,0.9994940239758718,0.9996545612812042,0.13466856130175936,0.1362650433226305
reverse_integer,numeric_reverse,0.44066999634626763,0.0793524654259875,0.46353252571393816,0.0804096727148229,0.8512517685113951,0.9763623630324153,0.9972687654717024,0.9999092977943151,0.3613175309202801,0.38312285299911525
reverse_list,reverse_sequence,0.4147506350090813,0.1243719336560359,0.43329234012449613,0.12594712543496803,0.853668235584016,0.9611265165465218,0.9975792294141478,0.999859070777893,0.29037870135304544,0.30734521468952813
reverse_string,reverse_sequence,0.3500952739202465,0.15839962933547272,0.36101896043349463,0.1609848658388863,0.8822284325443466,0.9475901285807291,0.9987304907029094,0.9997592522984459,0.19169564458477376,0.20003409459460833
rotate_left_one,rotation,0.6047042638409692,0.196860815555888,0.6268744912559692,0.20798013098746884,0.7872516558720516,0.9403692788134018,0.9972988359439068,0.998736847192049,0.40784344828508123,0.41889436026850035
rotate_matrix_clockwise,matrix_transform,0.7305360294789113,0.2083220273626325,0.7864889995973425,0.22060573961961913,0.7523122186010535,0.9356033114630892,0.9927941301856377,0.9986757153149534,0.5222140021162788,0.5658832599777234
rotate_right_one,rotation,0.6182146710084958,0.27598797130369723,0.6414247042525353,0.2828583855026178,0.7994570657610893,0.906719353692285,0.9973912934462229,0.9992830170982185,0.3422266997047986,0.35856631874991746
running_product,cumulative_scan,0.6482492320032583,0.201340978937713,0.6865435528099999,0.20633051457040127,0.7697615909117,0.9289080493076883,0.9952218805078986,0.9994773605857232,0.4469082530655454,0.4802130382395986
running_sum,cumulative_scan,0.7090471350495612,0.21383258271192176,0.747632353939955,0.22144372141514337,0.7596247851311624,0.9299480749501123,0.9953685730427235,0.9991511636310153,0.49521455233763945,0.5261886325248116
scan_max,scan_extremum,0.4592050329084101,0.21138294555508175,0.46374522056344175,0.2250283522906175,0.8383849613499224,0.9341881922399154,0.9995686100025839,0.9983462607017671,0.24782208735332834,0.23871686827282426
scan_min,scan_extremum,0.45304105551024687,0.19702063694042252,0.4591408428556983,0.212067438518826,0.8432240836050829,0.9355127119054698,0.9994368285838945,0.9981135455044833,0.2560204185698244,0.24707340433687228
selection_sort_ascending,selection_sort,0.5802425332137463,0.11120688626614483,0.5938719158911686,0.11410037007641056,0.8041147181281337,0.9686000200133146,0.9986425358572125,0.9997121899514845,0.46903564694760147,0.47977154581475806
selection_sort_descending,selection_sort,0.6024326758263747,0.13636488731118865,0.6198122933001061,0.13927114861239284,0.8032976856202255,0.9561855387565735,0.9982168416918061,0.9997190055397805,0.46606778851518604,0.48054114468771325
square_values,element_transform,0.4639995353288488,0.19230043593371857,0.4722756175197023,0.19307552996278013,0.8300316488695523,0.9374639934135809,0.9991697989128254,0.9999399499760733,0.27169909939513026,0.27920008755692216
string_palindrome,palindrome_test,0.722171882418583,0.14440111109450224,0.7454447332952571,0.15592023474929392,0.7518435994784037,0.9541303578522298,0.997611431280772,0.9984031675762429,0.5777707713240807,0.5895244985459631
sum_negative,sign_sum,0.48316254754148885,0.15964104681436628,0.5054018136239459,0.16201387426789185,0.8362051464092118,0.9481859437880976,0.9975265181911136,0.9997819899230874,0.3235215007271226,0.34338793935605405
sum_positive,sign_sum,0.422442590354095,0.15604240366354263,0.44051817432544493,0.15742799627653722,0.8603587686920773,0.9469311682767767,0.997979903811807,0.9998773137728373,0.2664001866905523,0.2830901780489077
transpose_matrix,matrix_transform,0.7855348474161777,0.1452877264939978,0.8399411110513029,0.15167015617846438,0.7301738201640546,0.9575643535586948,0.992830807964007,0.9992372221201872,0.64024712092218,0.6882709548728385
window_sum_three,sliding_window,0.7231223053698029,0.1680606054429822,0.7809557919612243,0.17382549325090735,0.7716184792419275,0.9460744746282798,0.9925827589772998,0.9994247653046432,0.5550616999268208,0.607130298710317
